Timestamp Start;Timestamp End;Run #;Tot Clients;Tot Avg X;Tot Avg R;Tot Avg U;CPU Demand;
2015-12-8 03:09:42;2015-12-8 03:12:42;3;11000;1730;206;82.94445000000000000000;.09588953757225433526;
2015-12-8 03:16:20;2015-12-8 03:19:20;4;1100;173;1;7.09694500000000000000;.08204560693641618497;
2015-12-8 03:22:09;2015-12-8 03:25:09;4;2200;350;1;13.14755000000000000000;.07512885714285714285;
2015-12-8 03:28:04;2015-12-8 03:31:04;4;3300;525;1;19.40430000000000000000;.07392114285714285714;
2015-12-8 03:34:05;2015-12-8 03:37:05;4;4400;700;1;26.09290000000000000000;.07455114285714285714;
2015-12-8 03:40:08;2015-12-8 03:43:08;4;5500;874;1;33.72860000000000000000;.07718215102974828375;
2015-12-8 03:46:15;2015-12-8 03:49:15;4;6600;1049;1;41.62365000000000000000;.07935872259294566253;
2015-12-8 03:52:47;2015-12-8 03:55:47;4;7700;1227;1;49.10300000000000000000;.08003748981255093724;
2015-12-8 03:59:25;2015-12-8 04:02:25;4;8800;1393;2;58.49730000000000000000;.08398750897343862167;
2015-12-8 04:06:09;2015-12-8 04:09:09;4;9900;1573;2;66.99730000000000000000;.08518410680228862047;
2015-12-8 04:13:16;2015-12-8 04:16:16;4;11000;1745;64;77.65575000000000000000;.08900372492836676217;
2015-12-8 04:19:58;2015-12-8 04:22:58;5;1100;175;1;7.15414500000000000000;.08176165714285714285;
2015-12-8 04:25:48;2015-12-8 04:28:48;5;2200;350;1;13.28940000000000000000;.07593942857142857142;
2015-12-8 04:31:45;2015-12-8 04:34:45;5;3300;527;1;19.85015000000000000000;.07533263757115749525;
2015-12-8 04:37:46;2015-12-8 04:40:46;5;4400;697;1;26.44545000000000000000;.07588364418938307030;
2015-12-8 04:43:52;2015-12-8 04:46:52;5;5500;875;1;34.00845000000000000000;.07773360000000000000;
2015-12-8 04:50:39;2015-12-8 04:53:39;5;6600;1046;1;41.13160000000000000000;.07864550669216061185;
2015-12-8 04:57:10;2015-12-8 05:00:10;5;7700;1221;1;49.34770000000000000000;.08083161343161343161;
2015-12-8 05:04:02;2015-12-8 05:07:02;5;8800;1399;1;57.08775000000000000000;.08161222301644031451;
